City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Worcester (Ma-Ct),2013,,18.2,
Worcester (Ma-Ct),2014,,,24.5
Worcester (Ma-Ct),2016,,14.9,
Worcester (Ma-Ct),2017,5.4,,21.5
Worcester (Ma-Ct),2018,,13.4,
Worcester (Ma-Ct),2019,,,19.7
York-Hanover (Pa),2011,,,23.8
York-Hanover (Pa),2012,,,22.2
York-Hanover (Pa),2013,,,18.8
York-Hanover (Pa),2014,,,20.4
York-Hanover (Pa),2015,,,19.5
York-Hanover (Pa),2018,,,11
Youngstown-Warren-Boardman (Oh-Pa),2012,,18.3,
Youngstown-Warren-Boardman (Oh-Pa),2014,,12,
Youngstown-Warren-Boardman (Oh-Pa),2015,,12.8,
Youngstown-Warren-Boardman (Oh-Pa),2018,,16.5,
Yreka,2010,4.5,,
Yreka,2011,5.5,,
Yreka,2012,5.7,,
Yreka,2013,7.9,,
Yreka,2018,14.4,,
Yreka,2019,5.9,,
Yuba City (Ca),2010,,,14.1
Yuba City (Ca),2011,8,,15.7
Yuba City (Ca),2012,6.9,,18
Yuba City (Ca),2013,8.2,,18.1
Yuba City (Ca),2018,,,14.1
Yuba City (Ca),2019,,,12.2
Yuma (Az),2010,7.4,,
Yuma (Az),2011,7.6,29.7,
Yuma (Az),2012,8.5,43.2,
Yuma (Az),2013,7.4,41.1,
Yuma (Az),2014,,44.7,
Yuma (Az),2015,5.6,38.5,
Yuma (Az),2016,8.3,47.7,
Yuma (Az),2017,8.5,41.8,
Yuma (Az),2018,,42.5,
Yuma (Az),2019,,35,
