City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Fairbanks (Ak),2018,7.8,14.7,
Fairbanks (Ak),2019,10.1,19.4,
Fargo (Nd-Mn),2010,,,10.2
Fargo (Nd-Mn),2014,5,,8.2
Fargo (Nd-Mn),2015,,,7.9
Fargo (Nd-Mn),2016,,,6.9
Fargo (Nd-Mn),2017,,,8.2
Fargo (Nd-Mn),2018,,,8.4
Farmington (Nm),2010,,,20.95
Farmington (Nm),2011,,,20
Farmington (Nm),2012,,,10.6
Farmington (Nm),2014,,,14.95
Farmington (Nm),2015,,,15.8
Farmington (Nm),2017,,,15
Farmington (Nm),2018,,,18.9
Farmington (Nm),2019,,,18.6
Fayetteville-Springdale-Rogers (Ar-Mo),2015,7.8,,
Fayetteville-Springdale-Rogers (Ar-Mo),2017,7.8,,
Fayetteville-Springdale-Rogers (Ar-Mo),2019,8,,
Florence-Muscle Shoals (Al),2011,10.3,,
Florence-Muscle Shoals (Al),2012,8.8,,
Florence-Muscle Shoals (Al),2013,8.6,,
Florence-Muscle Shoals (Al),2014,9.4,,
Florence-Muscle Shoals (Al),2015,8.7,,
Florence-Muscle Shoals (Al),2016,7.5,,
Florence-Muscle Shoals (Al),2018,7.5,,
Fort Collins (Co),2012,,23.7,
Fort Collins (Co),2013,,21,
Fort Collins (Co),2014,,18.8,
Fort Collins (Co),2018,,19.7,
Fort Payne (Al),2010,11.6,,
Fort Payne (Al),2011,11.2,,
Fort Payne (Al),2013,9,,
Fort Payne (Al),2014,9.6,,
Fort Payne (Al),2015,9,,
Fort Payne (Al),2016,7.7,,
Fort Payne (Al),2017,8,,
Fort Smith (Ar-Ok),2012,,,14.2
Fort Smith (Ar-Ok),2013,,,12
Fort Smith (Ar-Ok),2014,,,11
Fort Smith (Ar-Ok),2015,,,9.5
Fort Smith (Ar-Ok),2019,,,9.8
Fort Wayne (In),2014,10.7,,
Fort Wayne (In),2018,9.1,,
Fresno (Ca),2010,11.67,29.4,16.8
Fresno (Ca),2011,13.83,30.6,18.1
Fresno (Ca),2012,14.07,30.7,18.65
Fresno (Ca),2013,16.35,39.15,20.95
Fresno (Ca),2014,14.57,39.5,19.75
Fresno (Ca),2015,14.5,35.85,17.5
Fresno (Ca),2016,12.73,34.9,14.22
Fresno (Ca),2017,12.88,39.4,17.38
Fresno (Ca),2018,14.8,41.7,19.53
Fresno (Ca),2019,9.37,35.2,15.25
Gadsden (Al),2010,11.8,,
Gadsden (Al),2011,11.4,,
Gadsden (Al),2012,9.6,,
Gadsden (Al),2013,9.2,,
Gadsden (Al),2014,9.3,,
Gadsden (Al),2015,9.1,,
Gadsden (Al),2016,8.2,,
Gadsden (Al),2017,8.9,,
Gadsden (Al),2018,7.8,,
Gadsden (Al),2019,8.3,,
Georgetown (Sc),2010,,19.6,
Georgetown (Sc),2016,,18.3,
Gettysburg (Pa),2012,,,4.4
